"rowname","site","state","year","date","delph.plant.num","delph.flower.num","viable","bombus.abund","bombus.rich","bomabund.scale","num.delph","prop.delph","prop.long","num.long","mean.fidelity","color.sim","corolla.sim","species.removed","num.removed","prop.removed"
"1","Brush Creek Fork","control","2011",2011-07-18,"16","16.16",14,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"2","Brush Creek Fork","control","2011",2011-07-18,"16","16.16",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"3","Brush Creek Fork","control","2011",2011-07-18,"17","17.17",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"4","Brush Creek Fork","control","2011",2011-07-18,"18","18.18",8,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"5","Brush Creek Fork","control","2011",2011-07-18,"18","18.18",23,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"6","Brush Creek Fork","control","2011",2011-07-18,"19","19.19",17,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"7","Brush Creek Fork","control","2011",2011-07-18,"19","19.19",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"8","Brush Creek Fork","control","2011",2011-07-18,"20","20.20",7,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"9","Brush Creek Fork","control","2011",2011-07-18,"20","20.20",19,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"10","Brush Creek Fork","control","2011",2011-07-18,"21","21.21",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"11","Brush Creek Fork","control","2011",2011-07-18,"21","21.21",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"12","Brush Creek Fork","control","2011",2011-07-18,"22","22.22",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"13","Brush Creek Fork","control","2011",2011-07-18,"22","22.22",29,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"14","Brush Creek Fork","control","2011",2011-07-18,"23","23.23",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"15","Brush Creek Fork","control","2011",2011-07-18,"24","24.24",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"16","Brush Creek Fork","control","2011",2011-07-18,"24","24.24",7,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"17","Brush Creek Fork","control","2011",2011-07-18,"25","25.25",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"18","Brush Creek Fork","control","2011",2011-07-18,"25","25.25",24,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"19","Brush Creek Fork","control","2011",2011-07-18,"26","26.26",12,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
"20","Brush Creek Fork","control","2011",2011-07-18,"26","26.26",0,50,5,0.66696333862595,9455,0.566608737340445,0.98,49,0.95,0.000553097345132743,0.889795353982301,NA,0,0
